TITLE,LOCATIONS,RELEASE_YEAR
Jagged Edge,City Hall,1985
James and the Giant Peach,,1996
Joy Luck Club,Hang Ah Alley (Chinatown),1993
Joy Luck Club,Horace Mann School (3351 23rd Street),1993
Joy Luck Club,901 Union Street,1993
Joy Luck Club,610 Rhode Island Street (Potrero Hill),1993
Joy Luck Club,375 Laguna Honda Blvd.,1993
Joy Luck Club,180 Manchester Street,1993
Junior,2552 Hyde Street,1994
Junior,United Nations Plaza (Civic Center),1994
Junior,"Postcard Row (Alamo Square, Hayes Valley)",1994
Junior,Hyatt Fisherman's Wharf (555 Northpoint Street),1994
Junior,"Fairmont Hotel (950 Mason Street, Nob Hill)",1994
Junior,Chinatown Gate,1994
Junior,722 Steiner Street,1994
Just One Night,Ferry Building,2000
Kamikaze Hearts,Market Street Between Noe and Sanchez,1986
Live Nude Girls Unite,Lusty Lady Bar (North Beach),2000
Magnum Force,Cost Plus World Market (2552 Taylor Street),1973
Magnum Force,Vermont Street between 20th and 22nd Streets,1973
Magnum Force,San Francisco International Airport,1973
Magnum Force,San Francisco Drydock (20th and Illinois Streets),1973
Magnum Force,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)",1973
Magnum Force,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",1973
Magnum Force,Hall of Justice (850 Bryant Street),1973
Magnum Force,Golden Gate Bridge,1973
Magnum Force,"Fairmont Hotel (950 Mason Street, Nob Hill)",1973
Magnum Force,Embarcadero Freeway,1973
Magnum Force,City Hall,1973
Magnum Force,Broadway Tunnel (Russian Hill),1973
Magnum Force,280 Freeway at Pennsylvania and Mariposa Streets,1973
Magnum Force,2190 Washington Street (Pacific Heights),1973
Magnum Force,18th Street Overpass (Potrero Hill),1973
Marnie,"On Board the SS President Cleveland, docked at Pier 50",1964
Maxie,"Asian Art Museum (200 Larkin Street, Civic Center)",1985
Maxie,Grace Cathedral Episcopal Church (1100 California Street),1985
Maxie,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)",1985
Memoirs of an Invisible Man,St. Elizabeth Apartment House (901 Powell Street at Sacramento),1992
Metro,Bush Street at Jones,1997
Midnight Lace,"Fairmont Hotel (950 Mason Street, Nob Hill)",1960
Mother,Golden Gate Bridge,1996
Mother,"Fairmont Hotel (950 Mason Street, Nob Hill)",1996
Mrs. Doubtfire,1200 Washington Street at Taylor Street,1993
Mrs. Doubtfire,Hancock School (940 Filbert Street),1993
Mrs. Doubtfire,Danilo's Bakery (Green Street & Bannam Place),1993
Mrs. Doubtfire,Chrissy Field,1993
Mrs. Doubtfire,520-522A Green Street at Grant Street,1993
